사투리,표준어
그래갖고,그래갖고
보냈대는거야,보냈대는거야
그랬더니,그랬더니
대고,대고
거야,거야
말이긴하다만은,말이긴하다만은
풀고,풀고
아니냐고,아니냐고
있는데,있는데
그놈도,그놈도
거니까,거니까
그랬더니,그랬더니
않대,않대
낫대,낫대
백만원씩이니까,백만원씩이니까
그냥,그냥
때니까,때니까
아니냐고,아니냐고
{laughing},{laughing}
살젠,살려고
생각나,생각나
무사,왜
아프고,아프고
닮아,닮아
엎어져,엎어져
토요일날인가,토요일날인가
날이난,날이니까
날,날
하는거아니?,하는거아니?
아부지하구,아부지하구
했거든,했거든
모양이라,모양이라
하는데,하는데
예,#예
받을거꽝,받겠어요
아방,아버지
일하는디,일하는디
주던가,주던가
분명히,분명히
골아부난,말해서
내불랜,내불래
내불랜?,내불래?
무슨,무슨
와부렀지,와부렀지
기?,그래?
가크라,갈게
무사?,왜?
놀아그넹,놀아서
아난,아니까
그,그
해부난,해버려서
진짜,진짜
(()),(())
열받지,열받지
일하는디,일하는디
진짜,진짜
핸생이라,했나봐
{laughing},{laughing}
맞주게,맞주게
해서,해서
보염나(하멍)/(하면서),보염나(하멍)/(하면서)
섭섭합디다,섭섭합디다
가그넹,가서
보염수과,보이세요
아니고게,아니고게
사람,사람
시키켜,시키켜
보인덴?,보인대
되잖아,되잖아
힘들고,힘들고
이었어,이었어
나올때라,나올때라
날인데,날인데
테니까,테니까
했더니,했더니
그러더라고,그러더라고
나서,나서
올라고,올라고
말,말
핸,했어
진짜,진짜
틀려?,틀려?
우리가,우리가
모시고,모시고
갔다,갔다
없으니까,없으니까
그랬더니,그랬더니
그래갖고,그래갖고
진짜,진짜
어머닌데,어머닌데
어머니인데,어머니인데
번씩,번씩
받아가,받아가
해갖고,해갖고
주는데,주는데
주는데,주는데
소리야,소리야
받아오겠다,받아오겠다
신창,신창
해갖고,해갖고
들어,들어
누나한테,누나한테
오고,오고
이,#이
건데,건데
그래갖고,그래갖고
그랬어,그랬어
다,다
형제들이,형제들이
없고,없고
주냐,주냐
그랬드니,그랬드니
불행하대,불행하대
그런데,그런데
불행하다,불행하다
누나도,누나도
줘야되녜,줘야되녜
그랬지,그랬지
친정엄마한테,친정엄마한테
얘기하더라,얘기하더라
하는말,하는말
줬어요,줬어요
{laughing},{laughing}
없다,없다
&name7&씨보고,&name7&씨보고
했더니,했더니
갚았잖아,갚았잖아
돈을,돈을
그래갖고,그래갖고
꺼내주고,꺼내주고
거야,거야
샀대,샀대
갚았대,갚았대
거야,거야
한거야,한거야
아버지는,아버지는
뭐하러,뭐하러
그러길래,그러길래
했대,했대
모르겠대,모르겠대
거야,거야
그랬어,그랬어
줬어야지,줬어야지
놈이,놈이
짓을,짓을
하나,하나
어,어
있었구나,있었구나
이제,이제
돈이라,돈이라
없어,없어
하냐,하냐
했더니,했더니
했는데,했는데
그랬더니,그랬더니
거야,거야
매형이,매형이
있어,있어
그냥,그냥
거지,거지
아,아
한다,한다
진짜?,진짜?
한거래,한거래
팔아먹고,팔아먹고
거야,거야
거지,거지
아니잖아,아니잖아
알아주지,알아주지
문제야,문제야
거지,거지
해갖고,해갖고
모여서,모여서
거고,거고
거고,거고
이제,이제
틀리잖아,틀리잖아
그니까,그니까
되니까,되니까
생각이다,생각이다
매형이,매형이
끝난,끝났어
게,게
건데,건데
게,#게
진짜,진짜
(()),(())
살아도,살아도
어색해,어색해
서먹서먹하고,서먹서먹하고
서먹서먹하고,서먹서먹하고
있잖아,있잖아
틀어져그넹,틀어져서
치라고,치라고
부르고,부르고
진짜,진짜
한번,한번
그랬더니,그랬더니
한댄,한대
(()),(())
시끄럽게,시끄럽게
싸와,싸와
진짜,진짜
그,그
{laughing},{laughing}
(()),(())
나갔고,나갔고
난리쳐,난리쳐
게,#게
그거,그거
(()),(())
놀거든,놀거든
많아졌잖아,많아졌잖아
허난,하니까
뭐할코,뭐할까
돼,돼
부르젠,부를래
일까지는,일까지는
내일부터니까,내일부터니까
시부터,시부터
도,도
벌금이랜,벌금이래
벌금,벌금
과태료,과태료
했다가,했다가
핸,했어
할거지?,할거지?
뭐,뭐
다행이다,다행이다
수고하셨습니다,수고하셨습니다
끝났습니까,끝났습니까
네,네
제목은,제목은
하카?,할까?
(()),(())
자,자
(()),(())
(()),(())
하켄마씨.,하겠대요.
해여.,해.
너.,너.
화자.,화자.
이우다.,입니다.
화자.,화자.
우다.,입니다.
이거.,이거.
마이크,마이크
{laughing},{laughing}
행게.,하던데.
추운디,추운데
추웠수과양?,추웠어요?
옛날엔.,옛날엔.
옛날에.,옛날에.
막.,막.
((눈xxx)),((눈xxx))
소못게.,완전.
걸었주게.,걸었지.
(()),(())
못했주.,못 했지.
(()),(())
했주.,했지.
겨울에?,겨울에?
눈들.,눈들.
묻어난거달믄디.,묻은 거 같은데?
(()),(())
영?,이렇게?
묻어나실거라.,묻었을 거야.
(()),(())
년전에.,년전에.
전.,전.
아~,아~
전.,전.
폭삭와난.,많이 왔어.
(()),(())
년.,년.
다~,다~
다,다
(()),(())
할때난.,할 때 라서.
예,#예
묻잖아.,묻잖아.
(()),(())
해안가난,해안가 니까
다,다
그딘.,거긴.
남신게.,나네.
묻어.,묻어.
치면은,치면은
아이구.,아이구.
(()),(())
때문에.,때문에.
여기.,여기.
피어십디가?,폈어요?
나와.,나와.
(()),(())
있고.,있고.
이추룩,이렇게
게믄,그러면
(()),(())
다니고게.,다니고.
아니라게?,아니야?
왔수다.,왔어요.
(()),(())
옛날에사.,옛날엔 말이야.
기냥,그냥
((무지개)),((무지개))
담*그고,담그고
(()),(())
이,#이
이거,이거
곱았구나.,얼었구나.
가*져당으네게,가져다가
썰매,썰매
타노랜.,타서 놀라고.
옛날엔게.,옛날엔 말이야.
{laughing},{laughing}
나왕야,나와서
생각.,생각.
했주.,했지.
그러니까,그러니까
신고.,신고.
주워주민,기워주면
나왕으네,나와서
거.,거.
무신거?,뭐?
신었수다게.,신었어요.
타이.,타이.
아니고.,아니고.
거.,거.
(()),(())
(()),(())
얼언.,얼었어.
겨울이니까,겨울이니까
영,이렇게
닮아.,같아.
없고게.,없고.
얼어.,얼어.
(()),(())
이서.,있어.
근지럽진아느는디,간지럽진 않은데
부풀어올라.,부풀어올라.
하멍.,하면서.
아마,아마
해도,해도
해도,해도
겅행,그렇게 해서
셨수과,있었어요
무슨,무슨
(()),(())
말*똥이영,말 똥이랑
했져.,했다.
하면은,하면은
거는,거는
무뎐.,무뎌.
뿐이주.,뿐 이지.
(()),(())
(()),(())
볼이,불이
짓젠하믄,지으려고 하면
(()),(())
어~,어~
밀령,밀어서
두어뒁.,두고.
옛날에.,옛날에.
예게.,네.
(()),(())
뭐냐?,뭐냐?
있고.,있고.
이.,이.
(()),(())
옛날엔.,옛날엔.
박아졍게,박아져서
(()),(())
니영,이랑
그때.,그때.
할망들.,할머니들.
입어노민,입어 놓으면
참*,참
다,다
그게.,그게.
도망가불거여.,도망갈 거야.
년도라?,년도라?
년대.,년대.
육십년대주게.,육십 년대지.
년대,년대
그때.,그때.
(()),(())
후반.,후반.
아유.,아유.
내야될거게.,내야 할 거.
아~,아~
일어나그네,일어나서
(()),(())
그난,그니까
했수과?,했어요?
경했주.,그랬지.
(()),(())
참*,참
말아사되켜.,말아야 겠다.
요즘엔,요즘엔
잊어부렀주게게.,잊어버렸지.
(()),(())
(()),(())
다.,다.
거.,거.
알앙,알아서
(()),(())
꺾엉먹으멍,꺾어서 먹으면서
막~,막~
(()),(())
이서노난.,있으니까.
(()),(())
두린때,어릴 때
예,#예
안해나난,안 해서
하면은.,하면은.
중요한거게.,중요해.
맞아.,맞아.
하주게.,하지.
예게.,네.
컸주게게.,컸죠.
-끓-(끓여불면은)/(끓이면),-끓-(끓여불면은)/(끓이면)
허난게,하니까
자.,자.
(()),(())
허신디,했는데
예,#예
겨믄,그러면
{laughing},{laughing}
이신디,있는데
(()),(())
(()),(())
맞수과?,맞아요?
좋다.,좋다.
{laughing},{laughing}
인도.,인도.
겨울.,겨울.
똑똑하냐게?,똑똑하냐?
이거.,이거.
(()),(())
겨울.,겨울.
(()),(())
왐주.,왔지.
하멍도,하면서도
않으우꽈?,않습니까?
원~,원~
번젼,번져서
(()),(())
말랜.,말래.
빗으난,빗으니까
발*르난,바르니까
(()),(())
(()),(())
(()),(())
이시믄,있으면
말랜하는거게.,말라고 하는 거야.
사우나.,사우나.
매날,맨날
알아게.,알아.
매날게.,맨날.
진짜로.,진짜로.
코로나,코로나
보난,보니까
호꼳,좀
(()),(())
아이가.,아이가.
건데.,건데.
입고,입고
{laughing},{laughing}
감각들.,감각들.
이서부난?,있으니까?
솔직히.,솔직히.
건디.,건데.
이것저것.,이것저것.
이서사주.,있어야지.
(()),(())
{laughing},{laughing}
닮으꽈?,같아요?
경게,그렇게
아니.,아니.
지루해배지않으크라?,지루해 보이지 않을까?
지루해여?,지루해?
(()),(())
있고.,있고.
있고.,있고.
(()),(())
{laughing},{laughing}
있어사되곡게.,있어야 되고.
가고.,가고.
아니?,아니?
돼.,돼.
담아지난,담아지니까
거라.,거야.
(()),(())
행보믄,해서 보면
왔져.,왔다.
게메.,그러게.
원~,원~
예,#예
따르륵,따르륵
(()),(())
그냥.,그냥.
같구나.,같구나.
올딘어수과?,올 곳은 없어요?
어서.,없어.
소못,완전
((x교하나가나네)),((x교하나가나네))
우리,우리
(()),(())
이,#이
-자-,-자-
망해부니까.,망하니까.
모양이라.,모양이라.
가부니.,가니까.
가부난애.,가니까.
여자?,여자?
혀니까,하니까
행게.,하더라.
길거리에서.,길거리에서.
해도,해도
맹심해사,명심해야
거고,거고
맹심해사,명심해야
말아사되여.,말아야 돼.
하주만은,하지만
하여게?,하겠어?
거라?,거야?
무시거꼬.,뭐냐.
한록산.,한라산.
겨울에?,겨울에?
(()),(())
야~,야~
골아봅서.,말해보세요.
(()),(())
예,#예
왕아장,와서 앉아서
그때도.,그때도.
재미젼.,재밌었어.
가난,가니까
이,#이
때.,때.
그냥.,그냥.
먹고?,먹고?
보이고.,보이고.
보고,보고
하.,많아.
한*,한
(()),(())
뚜껑에.,뚜껑에.
소복이.,소복이.
(()),(())
(()),(())
한*,한
한~,한~
-담으-,-담으-
깨끗.,깨끗.
사람들이.,사람들이.
이,#이
들어도.,들어도.
젖어도,젖어도
질락질락,질퍽 질퍽
소못,완전
않으난,않으니까
그자,그저
하주.,하지.
기냥,그냥
해났주.,했었지.
생이라.,모양이야.
예,#예
하여.,해.
(()),(())
근데.,근데.
{laughing},{laughing}
좋아.,좋아.
어.,어.
(()),(())
세.,세.
이야기.,이야기.
소못,완전
응.,응.
((사르)),((사르))
하면,하면
나중에,나중에
{laughing},{laughing}
넘걸랑나가주.,넘으면 나가야지.
넘엉해져?,넘어서 할 수 있어?
닮아.,같아.
왐서게?,와?
이야기.,이야기.
합디가?,했어요?
예,#예
났주게게.,났지.
해수까?,했어요?
((설탕x)),((설탕x))
물레방아간에서.,물레방아간에서.
동네.,동네.
이,#이
어디,어디
-돌고-,-돌고-
않았수가?,않았어요?
경,그렇게
헐,할
{laughing},{laughing}
지경은?,지경은?
게.,말이야.
조천이주만은.,조천이지만.
(()),(())
그런,그런
어서.,없어.
솔짝하게,조심스럽게
그런가?,그런가?
(()),(())
똑,똑
{laughing},{laughing}
해신게게.,했었네.
걸어가난에,걸어가니까
나.,나.
추운괌.,추운 건지.
-구워-,-구워-
가을에는,가을에는
-먹을건-,-먹을건-
예쁘잖아.가을에는.,예쁘잖아.가을에는.
이서서게?,있었어?
예쁘잖아.,예쁘잖아.
놔뒀당게.,놔뒀다가.
허여.,해.
모슬포,모슬포
다,다
제주시에.,제주시에.
감자들,감자들
대미는거라.,넣는 거야.
저기,저기
먹으멍게,먹으면서
우린양.,우리는요.
좀,좀
돼.,돼.
((미낭)),((미낭))
그냥.,그냥.
그때.,그때.
허연?,했어?
((발지xx들게게)),((발지xx들게게))
이라.,이야.
조짝에양,저 쪽에
이게양.,이게요.
{laughing},{laughing}
{laughing},{laughing}
(()),(())
예,#예
예,#예
됐다.,됐다.
{laughing},{laughing}
배께.,밖에.
보고.,보고.
조수다.,줬어요.
(()),(())
얼마에.,얼마에.
얼마내치줍서.,얼마어치 주세요.
나중에.,나중에.
나왔주게.,나왔지.
가져가.,가져가.
먹젠,먹으려고
소못,완전
이서.,있어.
명.,명.
명이?,명이?
(()),(())
이제.,이제.
모입니다.,모입니다.
가네,걔네
{laughing},{laughing}
때?,때?
깐깐해노난에,깐깐해서
없고,없고
저,저
자수다.,잤어요.
(()),(())
세멍양.,세면서
게메.,그러게.
달리당,달리다가
중앙론데.,중앙론데.
(()),(())
그니까.,그니까.
참*,참
거.,거.
이,#이
{laughing},{laughing}
해.,해.
예,#예
{laughing},{laughing}
이거.,이거.
또,또
가고허여?,가고해?
저녁에들,저녁에들
걸어?,걸어?
같습디다,같습디다
하느냐,하느냐
치당,치당
있고,있고
딸내미는,딸내미는
가켄마씨,가겠대요
했지?,했지?
백칠십,백칠십
대박이다,대박이다
좀,좀
왜,왜
오른쪽,오른쪽
합니까,합니까
뼈?,뼈?
왜그,왜그
찢어졌댄,찢어졌댄
찢어졌다,찢어졌다
말랑말랑한,말랑말랑한
연골?,연골?
세상에,세상에
어릴대부터?,어릴대부터?
야이가,얘가
검은띠인데,검은띠인데
맨날예,맨날요
오른거라마씨,오른거에요
간,갓어
지금도?,지금도?
모르고,모르고
선생님이,선생님이
금간사람,금간사람
이거를,이거를
한명이면,한명이면
같은디,같은데
같고,같고
돼예,돼요
그,그
되불면,되면
대수술이랜마씨,대수술이래요
이게,이게
좀,좀
저같은,저같은
안되큰게,안되겟네
하고,하고
야이,얘
좋아하지예,좋아하지요
때부터예,때부터요
플로우볼예,플로우볼요
선수하지예,선수하지요
풋살,풋살
안하느냐?,안하느냐?
학교강,학교가서
하는거,하는거
지금도,지금도
나가,나가
겅해신디도,그랬는데도
잘하니까,잘하니까
뛰라고,뛰라고
있잖아예,있잖아요
그거행예,그거해서
안되고,안되고
겅해신디,그랬는데
들어가지고,들어가지고
선생님,선생님
야물딱졈구나,야무지구나
육지,육지
오고,오고
상받앙오고막,상받앙오고막
때?,때?
때영,때랑
지금?,지금?
때도,때도
못하고,못하고
알리고,알리고
나중에,나중에
않지?,않지?
안하는데,안하는데
나가,나가
좋켜,좋켜
와라,와라
보면,보면
난다는거야,난다는거야
팀을,팀을
공격수거든요,공격수거든요
야이,얘
멋지게,멋지게
골키도해,골키도해
넌,넌
저거하고,저거하고
야이가,얘가
딸나져신게,딸낳았네
가르켜,가르켜
자기가,자기가
겅해,그렇게해
그러니까,그러니까
안되고,안되고
뭐랭뭐랭핸,뭐라고 뭐라고 해서
그게예,그게요
겅,그렇게
안남아신게,안남았네
운동을예,운동을요
하니깐예,하니깐예
좋아하니까,좋아하니까
그때랑,그때는
대학강,대학가서
겅햄신가,그러는가
그,그
이신아이라부난,있는아이라서
완전,완전
니네,니네
아니,아니
다,다
나는,나는
우리예,우리요
닮아,같아
해나신디,햇었는데
(()),(())
(()),(())
백미터,백미터
반,반
반선수,반선수
좋구나,좋구나
축구,축구
다잘해,다잘해
나닮안,나닮아서
아들은,아들은
좋은데,좋은데
-예-,-예-
없어요,없어요
커부난,커서
대표로,대표로
대표로나가고,대표로나가고
해가지고,해가지고
저거하고,저거하고
않허여,않허여
그런데,그런데
고이가?,고이가?
너네,너네
좋켜이,좋겠다
당연하주마씨,당연하지요
올레길도,올레길도
걸어난다,걸어봤어?
한라산,한라산
갔다와수게,갓다왔잖아
아방이영,아빠랑
말,말
봐라,봐라
아니랜,아니라고
와서,와서
합디다,합디다
딸도간?,딸도갔어?
여,#여
좋겨,좋겠다
다들,다들
보다도,보다도
많이보고,많이보고
들어마씨,들어요
이,#이
자체도,자체도
봐야,봐야
제주도는,제주도는
뭐어떤,뭐어떤
일반,일반
개구리마씨,개구리에요
장사하고,장사하고
아니우꽈게,아니에요
우린그,우린그
사람어서,사람없어
불쌍하더라,불쌍하더라
맞아,맞아
그꼭그,그꼭그
봅서게,보세요
그렇게,그렇게
할생각할,할생각할
창고들예,창고들요
게난,그러니까
잇지,잇지
없수다만은,없는데요
아니라라,아니더라
새맨트라,새맨트라
그냥,그냥
쌔맨으로 ,시맨트로
쌔맨에다가,시맨트에다가
허여,허여
우리,우리
길만,길만
저거,저거
우리,우리
좋지마씨,좋지요
아느냐,아느냐
댕깁서게,다니세요
안하켜게,안할래
무사,왜
자격증땁디다,자격증땁디다
장사는,장사는
이웃들이,이웃들이
것처럼,것처럼
빵우고,빵우고
빼문대,빼면되
뺑갈게,빼면되
겅합서,그렇세요
담앙,담고
하고예 ,하고요
따서마씨,땃어요
있는,있는
들주었만마씨,들었지만요
겅햄꾸나,그러고있구나
목공,목공
기?,기?
응,응
좋구나,좋구나
안좋아,안좋아
잼병,잼병
짜서,짯어
알아마씨?,알아요?
줬고,줬고
짠,짯어
진짜?,진짜?
이수과,있어요
짜서,짰어
목걸이,목걸이
이거,이거
어,어
거지,거지
준거,준거
좋겠다,좋겠다
배워보잰해신디 ,보려고했는데
배우크라,배우겠어
가르켜줜,가르쳐줬어
주변에,주변에
나눈거라마씨,나눈거레요
배연예,보여서요
하면,하면
듭디다,듭디다
오로지,오로지
이,#이
중간에,중간에
태어낭이,태어나서
뜨게질,뜨게질
거기,거기
없어난게,없었어
했거든,했거든
가볼지,가볼지
손,손
끊었어,끊었어
너뭐고?,너뭐고?
어서,어서
글쓰는거,글쓰는거
나얘,나요
좋아하니까,좋아하니까
나는,나는
다음에,다음에
좋아했거든예,좋아햇거든요
불렀습니다,불렀습니다
좋아한다,좋아한다
합창반활동도,합창반활동도
불교?,불교?
(()),(())
말안,말았어
그,그
하지,하지
그,그
있거든에,있거든요
하겐,하자고
이제,이제
좋았네,좋았잖아
없져,없다
{laughing},{laughing}
했었거든예,햇었거든요
좋댄해가멍,좋다면서
해신디,했는데
떨령못핸,떨려서 못해
좋은 게,좋다
각자,각자
생각은해,생각은해
나도하나,나도하나
들어마씨,들어요
읽으크라,읽겟어
이,#이
딴생각나,딴생각나
재미져가지고,재미져가지고
금방,금방
읽언,읽었어
좋았지,좋았지
뭐줘니?,뭐줘니?
재미젼,재미졋어
그할머니,그할머니
세상,세상
된거여신디,된거였는데
좋았고,좋았고
어닌,어닌
좋아,좋아
있져,있아
독서모임에서,독서모임에서
시작했주게,시작했주게
사람들인데,사람들인데
책을,책을
해서,해서
어려워,어려워
부는디,버리는데
대장이라,대장이라
나가불맨,나가버려
(()),(())
아니,아니
꾸역꾸역,꾸역꾸역
아예,아예
진짜(이)/(#이),진짜(이)/(#이)
어려워부난게 ,어려워서
복잡하고예,복잡하고요
싫주게,싫지
읽는디,읽는데
읽어주게,읽어지거든
하지,하지
티브이에서,티브이에서
가지고,가지고
겅할때,그럴대
나그거,나그거
그저,그저
설명하고,설명하고
전현무영,전현무랑
학자들,학자들
바꿔가면서,바꿔가면서
끝나사?,끝났어?
알아,알아
그,그
하멍,하면서
읽거든예,읽거든요
그,그
나오니까,나오니까
모른데,모른데
몰람주,모르지
야,야
보라,보라
(()),(())
있었잖아마씨,있었잖아요
흥부놀부,흥부놀부
어렸을때예,어렸을때요
봤거든마씨,봤거든요
우린,우린
나는,나는
주로,주로
대부분,대부분
계몽사,계몽사
셜록,셜록
추리소설,추리소설
전부다,전부다
다봐서,다봤어
거,거
것들,것들
읽엇거든예,읽엇거든예
안읽었지,안읽었지
나가예,내가요
책안읽어,책안읽어
안읽어?,안읽어?
응,응
그,그
예,요
하고,하고
나가,나가
겅했거든예,겅했거든예
모르~,모르~
그런건가,그런건가
많주게,많지
휴대폰도,휴대폰도
많아,많아
이제,이제
아무것도,아무것도
없어얘,없어얘
핸드폰,핸드폰
가졍가지잖아,가져갈수 있잖아
안읽어,안읽어
기,기
끝나면,끝나면
돌려준대,돌려준대
그렇잖아요,그렇잖아요
겅햄실거라,그러고 잇을거야
되,되
또,또
무사?,왜?
하고,하고
웃겨,웃겨
좋은데,좋은데
취미,취미
그거는,그거는
있는예,있는요
돼,돼
얘기해신디예,얘기했는데
나,나
닮아,같아
육지에서,육지에서
(()),(())
어서,없어
배웠는데,배웠는데
좋아하나,좋아하나
들드라예,들더라요
들어,들어
사구,사구
코치비에,코치비에
안든거,안든거
기과,그래요
하면,하면
응,응
필드는,필드는
갖춰진,갖춰진
장비도,장비도
한꺼번에,한꺼번에
하고에,하고요
겅해마씨,그래도
하니까,하니까
게,게
같고,같고
옷이영,옷이랑
옷사야되,옷사야되
사는거라마씨,사는거에요
또,또
자기,자기
가져,가져
잇고,잇고
나와,나와
가니까,가니까
뭐어쩌라,뭐어쩌라
언니들,언니들
나가겐,나가겐
해동,하고
(()),(())
다녀서,다녔어
있고예,있고요
좋아,좋아
폼만?,폼만?
좋아,좋아
배우더라,배우더라
행게,하더라
별로,별로
없음,없음
(()),(())
길예,길요
좋아,좋아
다니는거,다니는거
다니는거,다니는거
봐,봐
아까,아까
절물예,절물요
좋고,좋고
좋고예,좋고요
좋고,좋고
좋고,좋고
경사지잖아,경사지잖아
따라비오름,따라비오름
있더라,있더라
오름들이,오름들이
가났져,가났져
민오름,민오름
{laughing},{laughing}
무슨,무슨
천와사에서,천와사에서
석굴암?,석굴암?
말고,말고
영실?,영실?
가면,가면
천왕성에서,천왕성에서
하나,하나
긴가?,긴가?
응,응
천하숲길?,천하숲길?
어디?,어디?
해나신디,했엇는데
좋읍디다,좋더라고요
어리목,어리목
분,분
삼십분,삼십분
동네,동네
된?,됬어?
그런느낌아니라,그런느낌아니라
오르막길,오르막길
일,일
차세왕?,차세워서?
추천합니다,추천합니다
전에,전에
오름이영,오름이랑
어승생악,어승생악
돌아라,돌아라
좋고,좋고
편편해,편편해
좋아라,좋더라
거문오름,거문오름
신청행이,신청해서
삼나무숲길이어신가,삼나무숲길이었나
편백나무,편백나무
시커멍해,시커멓다
시커멍해,시커멓다
시커멍해,시커멓다
사려니숲길도예,사려니숲길도예
좋아,좋아
아니가?,아니가?
아니가?,아니가?
또,또
되서마씨)/(됬어요),되서마씨)/(됬어요)
세원다니맨,세우고다녀
갔당,갔당
길마씨,길이에요
사려니는,사려니는
그,그
많아마씨,많아요
거야,거야
보다,보다
합니까,합니까
삼달인가?,삼달인가?
어디지,어디지
사려니,사려니
이서마씨,있어요
세웡,세워서
넘어갔당,넘어갔다가
거기는,거기는
같아마씨,같아요
내려왔거든예,내려왔거든요
가지고,가지고
내려와그네,내려와서
이시난,있으니까
댕겨신게,다녔네
사련이도,사련이도
적어신디,적었는데
이런때,이런때
가구,가구
삼양에,삼양에
물통에도가,물통에도가
좋아,좋아
같애마씨,같아요
이시니,있잖아
되잖아,되잖아
막아졋네,막아졌잖아
사람들도,사람들도
다터전,다터져서
연결되고,연결되고
많이,많이
(()),(())
아니,아니
수영해,수영해
이정도해,이정도해
아이들이가,아이들이가
다,다
다있고,다있고
보이지,보이지
게난,게난
되고?,되고?
샘물이라부니까,샘물이라부니까
많아?,많아?
모르고,모르고
쯤에,쯤에
쨍쨍한데,쨍쨍한데
못이서,못있어
시려왕,시려워서
다신고,다신고
하루종일,하루종일
담그는거라마씨,담그는거에요
해여,해여
추우니까,추우니까
둔해지자얘,둔해지자얘
놀아,놀아
같이,같이
잠수하기,잠수하기
진사람,진사람
아이들하고,아이들하고
나면,나면
더위가예,더위가예
식혀,식혀
삼양까지,삼양까지
오고?,오고?
이번에도,이번에도
세번인가,세번인가
나와,나와
오면,오면
컹앉아이시면,담겨앉아있으면
시려운데,시려운데
캐니까,캐니까
빼내,빼내
오니까,오니까
샘물이나,샘물이나
아무것도,아무것도
시켜,시켜
바글바글바글바글,바글바글바글바글
바글바글,바글바글
정도다,정도다
사람들이,사람들이
왐신가예,오는지
완전,완전
이서냐,있엇어?
태산이고예,태산이고요
무사,왜요
대며지고,몰려오고
때,때
가봤수과,가봤어요?
비올때만,비올때만
기니까,그러니까
해신디,하니까
갔거든예,갔거든예
콸콸,콸콸
거기서,거기서
죽었거든,죽었거든
때만,때만
비올때만,비올때만
되는디,되는 곳
대박,대박
폭포같이,폭포같이
비,비
쏟아져,쏟아져
붙엄구나,붙는 구납
짜증나니까,짜증나니까
대령나가고,대령나가고
(거주마씨)/(),(거주마씨)/()
지금,지금
언니네,언니네
가고,가고
가,가
거기,거기
원앙폭포이신디,원앙 폭포있는데
돈네코,돈네코
얼음물이잖아예,얼음물이잖아요
좋아,좋아
깨끗하나,깨끗하나
관광,관광
들어서서,들어서서
뭐,뭐
왜냐면,왜냐면
있는데,있는데
가져가기,가져가기
먹은,먹은
내려가면,내려가면
되어있다,되어있다
그계단도예,그계단도예
거기도,거기도
그런데도,그런데도
가났져,갔었지
좋아마씨,좋아요
좋아,좋아
까지,까지
(()),(())
음,음
우리는,우리는
살잖아마씨,살잖아요
응,응
우린밖에는,우린밖에는
어서,없어
다녀마씨,다녀요
수밖에,수밖에
가야지마씨,가야지요
못해요,못해요
벗이,벗이
(()),(())
있어사,있어사
다니고,다니고
없잖아요,없잖아요
하니깐,하니깐
했는데,했는데
언니는,언니는
언니가?,언니가?
두명?,두명?
명,명
명,명
누구는,누구는
언니는,언니는
두번째?,두번째?
두번째,두번째
있고,있고
돌아가셨고,돌아가셨고
나가지고,나가지고
무사?,왜
사고난,사고난
교통사고?,교통사고?
남았구나,남았구나
(()),(())
없,없
셋이구나,셋이구나
셋,셋
셋,셋
하나,하나
가사,가사
음,음
좋아,좋아
강,강
이제,이제
(()),(())
(()),(())
맞주만은,맞지만
요즘은,요즘은
저는&name1&입니다.,저는&name1&입니다.
&name2&입니다.,&name2&입니다.
거죠?{laughing},거죠?{laughing}
응.,응.
갈꺼?,갈거야?
갈짬?,갈짬?
먹어야지.,먹어야지.
했어.,했어.
갈짬?,갈짬?
알아?,알아?
먹어봤어.,먹어봤어.
맛(인?)/(있어?),맛(인?)/(있어?)
있어.,있어.
있거든?,있거든?
거,거야
응.,응.
쪽이었지?,쪽이었지?
&company-name1&,&company-name1&
전인가?,전인가?
전에?,전에?
있는데,있는데
응.,응.
차돌짬뽕.,차돌짬뽕.
맛(인?)/(있어?),맛(인?)/(있어?)
배고파.,배고파.
맛(인.)/(있어.),맛(인.)/(있어.)
배고파.,배고파.
싶고(이)/(#이),싶고(이)/(#이)
맞아.,맞아.
싶.,싶어.
나도.,나도.
싶어.,싶어.
배고프다.{laughing},배고프다.{laughing}
배고파.,배고파.
배고파.,배고파.
맛있는데,맛있는데
내일,내일
근처니까,근처니까
갈거야.,갈거야.
다음에,다음에
먹지?,먹지?
거.,거야.
어.{laughing},어.{laughing}
먹어.,먹어.
거?,거?
이,#이
무서워{laughing},무서워{laughing}
싶,싶어
알아?,알아?
왜?,왜?
생견.,생겼어.
맛있는데,맛있는데
됐나봐,됐나봐
왜?,왜?
속상하다.,속상하다.
왜지?,왜지?
맛있는데.,맛있는데.
맛있지.,맛있지.
싶네.,싶네.
됀.,됐어.
이?,맞지?
응.,응.
&company-name2&,&company-name2&
있지?,있지?
저번에.,저번에.
응.,응.
갔거든?,갔거든?
맛있어,맛있어
싶다.,싶다.
누구인가?-그--그-,누구인가?-그--그-
어,어
소문이{laughing},소문이{laughing}
가,가
있어.,있어.
그래?,그래?
맛있겠다,맛있겠다
들어봔?,들어 봤니?
모르냐?,모르냐?
없군.,없군.
가봤지?,가봤지?
응.,응.
언.,없어.
하던디?,하던데?
닫으니깐?,닫으니까?
&company-name5&,&company-name5&
진짜?,진짜?
꼭(이)/(#이),꼭(이)/(#이)
그거더만,그거던데
하더만,하던데
했는데,했는데
나는,나는
싶어가지고,싶어서
엥,엥
진짜?,진짜?
뜨멘,뜬다
쳐봤는데,쳐봤는데
보여?,보여?
맛 인,맛 있어
아닌가?,아닌가?
