사투리,표준어
않았잖아,않았잖아
뭐래드라,뭐래드라
그,그
나이,나이
다,다
들어서,들어서
늙어가고,늙어가고
무슨,무슨
결혼식,결혼식
쪽팔리게,쪽팔리게
결혼식이녜,결혼식이녜
그러면서,그러면서
우리,우리
집에,집에
와,와
갖고,갖고
내가,내가
차려주는,차려주는
밥,밥
세끼,세끼
다,다
일,일
주일,주일
동안,동안
일주일동안,일주일동안
처먹으면,처먹으면
그,그
땅,땅
나,나
그,그
땅,땅
나,나
만,만
하다가,하다가
그,그
땅,땅
딱,딱
받으난,받으난
그,그
다음부터,다음부터
오지도,오지도
안,안
하고,하고
그러면서,그러면서
하는,하는
말이,말이
일주일동안,일주일동안
있으면서,있으면서
더,더
웃기는,웃기는
건,건
뭐냐면,뭐냐면
아이고,아이고
결혼식에,결혼식에
못와서,못와서
미안합니다,미안합니다
아니면,아니면
형,형
결혼,결혼
축하합니다도,축하합니다도
아니고,아니고
뭐라,뭐라
했냐면,했냐면
아이고,아이고
우리,우리
친구,친구
아들,아들
결혼해신디,결혼해신디
부주돈,부주돈
줘야,줘야
되는데,되는데
친구,친구
아들,아들
결혼식에,결혼식에
왔다는,왔다는
거야,거야
그러면서,그러면서
우리한텐,우리한텐
부주돈,부주돈
줄,줄
생각도,생각도
안하고,안하고
하는,하는
말이,말이
나중에,나중에
자기,자기
결혼식에,결혼식에
형이,형이
안,안
왔었대,왔었대
그러니까,그러니까
그래서,그래서
자기도,자기도
형,형
결혼식에,결혼식에
안,안
왔대,왔대
그,그
내가,내가
&name7&,&name7&
보고,보고
왜,왜
동생,동생
결혼식에,결혼식에
안,안
갔냐,갔냐
그랬더니,그랬더니
형이,형이
결혼,결혼
안,안
한,한
형이,형이
동생,동생
결혼식에,결혼식에
가는,가는
거,거
아니라고,아니라고
그래갖고,그래갖고
안,안
가고,가고
아버지한테,아버지한테
아부지한테,아부지한테
백만,백만
원만,원만
보냈대는거야,보냈대는거야
그럼,그럼
그,그
얘기를,얘기를
하지,하지
왜,왜
안,안
하냐,하냐
그랬더니,그랬더니
저,저
새끼는,새끼는
지금,지금
삼십년,삼십년
넘게,넘게
그,그
얘기,얘기
하는데,하는데
거기다,거기다
대고,대고
뭐하러,뭐하러
또,또
그,그
얘기를,얘기를
하냐는,하냐는
거야,거야
그,그
말도,말도
맞는,맞는
말이긴하다만은,말이긴하다만은
그래서,그래서
내가,내가
그래도,그래도
할,할
말은,말은
하고,하고
오해,오해
한,한
건,건
풀고,풀고
그,그
다음에,다음에
속,속
섭섭한,섭섭한
건,건
섭섭하다고,섭섭하다고
얘기,얘기
하고,하고
풀어야,풀어야
될,될
거,거
아니냐고,아니냐고
지금,지금
오남매,오남매
중에서,중에서
혼자만,혼자만
외톨이,외톨이
돼갖고,돼갖고
저러고,저러고
있는데,있는데
그러면,그러면
이상한,이상한
놈,놈
이렇게만,이렇게만
할,할
게,게
아니라,아니라
그놈도,그놈도
지,지
나름대로,나름대로
아픈,아픈
게,게
있으니까,있으니까
저렇게,저렇게
꼬여가고,꼬여가고
있는,있는
거니까,거니까
그럼,그럼
풀어라,풀어라
내가,내가
한번,한번
얘기를,얘기를
해줄,해줄
테니까,테니까
그랬더니,그랬더니
싫대,싫대
저런,저런
새끼하곤,새끼하곤
얘기하고,얘기하고
싶지,싶지
않대,않대
땅도,땅도
줘버리고,줘버리고
그냥,그냥
말을,말을
말을,말을
안,안
해버린,해버린
것,것
낫대,낫대
아저씨,아저씨
땅이,땅이
그게,그게
육억이야,육억이야
돈으로,돈으로
따지면,따지면
백만원씩이니까,백만원씩이니까
육,육
억이,억이
넘는,넘는
돈이야,돈이야
그런데,그런데
왜,왜
그거를,그거를
바보같이,바보같이
그냥,그냥
옛날엔,옛날엔
돈,돈
쌀,쌀
때,때
생각만,생각만
하고,하고
그래서,그래서
지금,지금
비쌀,비쌀
때니까,때니까
너,너
이거,이거
받기,받기
받기,받기
위해서는,위해서는
가족들하고,가족들하고
풀거,풀거
풀자하고,풀자하고
얘기해야,얘기해야
될,될
거,거
아니냐고,아니냐고
아니,아니
그냥,그냥
줘버리고,줘버리고
말거랜,말거랜
{laughing},{laughing}
{laughing},{laughing}
아휴,아휴
우리는,우리는
우리,우리
시동생이,시동생이
(()),(())
나,나
진짜,진짜
여름에,여름에
열받아,열받아
열받았던,열받았던
게,게
갑자기,갑자기
확,확
생각나,생각나
{laughing},{laughing}
야,야
그,그
여,여
그,그
여름에,여름에
우리,우리
다리도,다리도
아프고,아프고
올해에,올해에
만,만
진짜,진짜
네,네
다섯번,다섯번
엎어진,엎어진
거,거
닮아,닮아
맞아,맞아
한,한
번,번
엎어지면,엎어지면
계속,계속
엎어져,엎어져
진짜,진짜
우리,우리
똘래미,똘래미
토요일날,토요일날
그때,그때
토요일날인가,토요일날인가
토요일날,토요일날
출근하는데도,출근하는데도
연차낸,연차낸
우리,우리
서방,서방
연차낸,연차낸
나도,나도
난,난
출근안하는,출근안하는
다,다
에,에
확확,확확
해불게,해불게
하는데,하는데
마침,마침
그,그
날,날
가기로,가기로
이,이
날,날
그날,그날
또,또
벌초(허켄)/(하겠다고),벌초(허켄)/(하겠다고)
하는거아니?,하는거아니?
아이,아이
벌초,벌초
하래,하래
나하고,나하고
저기,저기
아부지하구,아부지하구
어머니하고,어머니하고
갖다,갖다
했거든,했거든
갔다,갔다
우리,우리
이,이
먼저,먼저
집에,집에
모양이라,모양이라
우리는,우리는
온,온
줄도,줄도
바로,바로
집,집
앞에서,앞에서
일,일
하는데,하는데
(()),(())
그,그
땀,땀
흘리면,흘리면
진짜,진짜
울,울
딸래미,딸래미
그,그
일,일
아니,아니
방에서,방에서
{laughing},{laughing}
열,열
안,안
뭐(햄수과)/(하세요)(하멍)/(하면서),뭐(햄수과)/(하세요)(하멍)/(하면서)
아니,아니
지금,지금
노인네,노인네
나이,나이
든,든
저,저
일하는디,일하는디
잠이,잠이
잠이,잠이
저,저
묘종이라도,묘종이라도
날라다,날라다
주던가,주던가
모르긴,모르긴
모릅니까,모릅니까
오늘,오늘
저기,저기
(()),(())
분명히,분명히
오늘,오늘
양배추,양배추
심는댄,심는댄
열,열
막,막
뭐,뭐
은,은
더,더
웃겨,웃겨
무슨,무슨
나하고,나하고
저기,저기
무슨,무슨
이,이
밭이,밭이
열받아,열받아
(()),(())
와부렀지,와부렀지
어,어
나,나
&name8&야,&name8&야
빨리,빨리
가게,가게
알아서,알아서
엄마,엄마
나도,나도
우리,우리
딸래미도,딸래미도
열,열
그,그
뒷날,뒷날
집에,집에
왔더라고,왔더라고
나,나
어우,어우
나,나
열,열
안,안
받게,받게
우린,우린
무슨,무슨
그,그
밭이,밭이
일해주는지,일해주는지
고생하는,고생하는
거,거
일부러,일부러
&name8&,&name8&
연차내고,연차내고
뭐(행)/(해서),뭐(행)/(해서)
그,그
아들이라는,아들이라는
사람이,사람이
그,그
방에서,방에서
일하는데,일하는데
자기가,자기가
막,막
아,아
그거,그거
아니고,아니고
난,난
우리,우리
이,이
더,더
열,열
더,더
열,열
더,더
열받아,열받아
나,나
진짜,진짜
도,도
확,확
소리를,소리를
(()),(())
더,더
열받지,열받지
며느리,며느리
앞에서,앞에서
그러면,그러면
(()),(())
까지,까지
일하는디,일하는디
우리,우리
때문에,때문에
더,더
나,나
진짜,진짜
와부렀다니까,와부렀다니까
나,나
진짜,진짜
우리가,우리가
우리,우리
이,이
한테,한테
이만저만(행)/(해서),이만저만(행)/(해서)
너가,너가
너라게,너라게
{laughing},{laughing}
맞주게,맞주게
너가,너가
너라,너라
욕듣을,욕듣을
짓,짓
해서,해서
그,그
아이들,아이들
땡볕에,땡볕에
난,난
둘째치고,둘째치고
손주,손주
땡볕에,땡볕에
일하는,일하는
거,거
안,안
보염나(하멍)/(하면서),보염나(하멍)/(하면서)
나중에,나중에
어머니,어머니
미안할,미안할
게,게
아니고,아니고
나,나
진짜,진짜
섭섭합디다,섭섭합디다
난,난
둘째치고,둘째치고
는,는
(()),(())
땡볕에,땡볕에
땀,땀
뻘뻘,뻘뻘
흘리며,흘리며
일하는,일하는
거,거
일하는,일하는
건,건
안,안
아들은,아들은
손,손
뭐허고,뭐허고
우리,우리
손지,손지
우리,우리
딸은,딸은
뭐,뭐
그게,그게
아니고게,아니고게
시에서,시에서
어쩌고,어쩌고
생각부터,생각부터
틀린거,틀린거
시에서,시에서
온,온
사람,사람
시에서,시에서
오면,오면
일,일
안해도,안해도
됩니까,됩니까
하난,하난
알았져,알았져
다음에,다음에
오면,오면
시키켜,시키켜
우리,우리
같은,같은
경우는,경우는
이,이
갑자기,갑자기
눈이,눈이
안,안
병원,병원
모시고,모시고
백내장이랜,백내장이랜
백내장,백내장
수술하면,수술하면
일주일,일주일
동안,동안
병원을,병원을
매일,매일
가야,가야
되잖아,되잖아
그리고,그리고
이,이
판포에서,판포에서
시에까지,시에까지
병원을,병원을
매일,매일
가지는,가지는
정말,정말
힘들고,힘들고
근데,근데
내가,내가
그때가,그때가
십일월,십일월
말,말
이었어,이었어
그러니까,그러니까
제일,제일
콜라비,콜라비
브로콜리,브로콜리
칼리박,칼리박
엄청,엄청
나올때라,나올때라
하루도,하루도
쉬면,쉬면
안되는,안되는
날인데,날인데
시누한테,시누한테
얘기를,얘기를
했어,했어
수술은,수술은
우리가,우리가
어머니,어머니
시켜드릴,시켜드릴
테니까,테니까
일주일,일주일
동안,동안
병원,병원
옆이니까,옆이니까
형님이,형님이
좀,좀
어머님,어머님
모시고,모시고
병원을,병원을
좀,좀
다녀주세요,다녀주세요
했더니,했더니
어게,어게
그렇게,그렇게
하라,하라
그러더라고,그러더라고
그래갖고,그래갖고
어머니,어머니
백내장,백내장
수술,수술
딱,딱
그래갖고,그래갖고
수술,수술
끝나고,끝나고
나서,나서
어머니,어머니
이제,이제
형님네,형님네
집에,집에
어머니,어머니
놔두고,놔두고
올라고,올라고
어머니,어머니
모시고,모시고
딱,딱
시누,시누
밥상,밥상
차려주면서,차려주면서
하는,하는
말,말
난,난
내일부터,내일부터
귤,귤
따러,따러
가기로,가기로
아이고,아이고
진짜,진짜
{laughing},{laughing}
왜,왜
말이,말이
틀려?,틀려?
그래서,그래서
아니,아니
어머니를,어머니를
봐주셔야,봐주셔야
우리가,우리가
우리도,우리도
밭에,밭에
촌에,촌에
일할건데,일할건데
어머니,어머니
모시고,모시고
시에,시에
까지,까지
왔다갔다,왔다갔다
하면,하면
네,네
시간에서,시간에서
다섯,다섯
시간,시간
아니,아니
왔다,왔다
갔다,갔다
이렇게,이렇게
걸리면,걸리면
우리가,우리가
농산물을,농산물을
어떻게,어떻게
할,할
수가,수가
없으니까,없으니까
형님이,형님이
좀,좀
해,해
주시기로,주시기로
하시지,하시지
않았냐고,않았냐고
그랬더니,그랬더니
자기,자기
내일부터,내일부터
귤,귤
따라가야,따라가야
되나,되나
어머닌,어머닌
알아서,알아서
모시고,모시고
가,가
그래갖고,그래갖고
우리가,우리가
일주일,일주일
동안은,동안은
모시고,모시고
왔다,왔다
갔다,갔다
했네,했네
제주시까지,제주시까지
아,아
진짜,진짜
어디서,어디서
(()),(())
어머닌데,어머닌데
그러니까,그러니까
자기,자기
어머니인데,어머니인데
그리고,그리고
어머니,어머니
혈압약을,혈압약을
한국,한국
병원에서,병원에서
맨날,맨날
한,한
달에,달에
한,한
번씩,번씩
그,그
약값을,약값을
오만,오만
원씩,원씩
받아가,받아가
혈압약이,혈압약이
만,만
육천,육천
원이야,원이야
만,만
육천,육천
원,원
인데,인데
자기,자기
왔다갔다,왔다갔다
하는,하는
차비까지,차비까지
해갖고,해갖고
오,오
만원씩을,만원씩을
주는,주는
거야,거야
아니,아니
왜,왜
누나한테,누나한테
오만원을,오만원을
주는데,주는데
딸이,딸이
엄마,엄마
약,약
그것도,그것도
못,못
사다주냐고,사다주냐고
용돈도,용돈도
안,안
주는데,주는데
그,그
그랬더니,그랬더니
그래도,그래도
어떡하냐고,어떡하냐고
그건,그건
말이,말이
안,안
되는,되는
소리야,소리야
내가,내가
그래서,그래서
그러면,그러면
나,나
한국,한국
병원에,병원에
가서,가서
처방전을,처방전을
내고,내고
받아오겠다,받아오겠다
내가,내가
받아갖고,받아갖고
와서,와서
여기,여기
신창,신창
한경의원에다,한경의원에다
이,이
처방전대로,처방전대로
혈압약이랑,혈압약이랑
그,그
뭐야,뭐야
뇌경색,뇌경색
약을,약을
주세요,주세요
해갖고,해갖고
여기서,여기서
타,타
먹으니까는,먹으니까는
뭐야,뭐야
만,만
사천,사천
원밖에,원밖에
안,안
들어,들어
한,한
달에,달에
만,만
사천원이면,사천원이면
될거를,될거를
매달,매달
오,오
만원씩을,만원씩을
준,준
거야,거야
누나한테,누나한테
그렇다고,그렇다고
그거,그거
받아,받아
가고,가고
올,올
때,때
빈손으로,빈손으로
오고,오고
진짜,진짜
자기,자기
그,그
챙기는,챙기는
건데,건데
어,어
그래갖고,그래갖고
나,나
결혼해,결혼해
가지고,가지고
우리,우리
어머니,어머니
용돈,용돈
오만,오만
원씩,원씩
드리자고,드리자고
그랬어,그랬어
&name7&씨한테,&name7&씨한테
올해는,올해는
육지에는,육지에는
다,다
우리,우리
언니는,언니는
삼십만,삼십만
원씩,원씩
다,다
드려,드려
이십만,이십만
원,원
삼십만,삼십만
원씩해갖고,원씩해갖고
형제들이,형제들이
근데,근데
나만,나만
돈이,돈이
없어서,없어서
못,못
줬으니까,줬으니까
&name7&,&name7&
씨,씨
엄마,엄마
많이,많이
줘도,줘도
필요,필요
없고,없고
오만,오만
원씩만,원씩만
주자,주자
했더니,했더니
내가,내가
왜,왜
장모님,장모님
돈을,돈을
주냐,주냐
그래서,그래서
육지는,육지는
부모님한테,부모님한테
용돈을,용돈을
다,다
드린다,드린다
그랬드니,그랬드니
이제,이제
육지,육지
여자랑,여자랑
결혼한,결혼한
남자는,남자는
불행하대,불행하대
그래서,그래서
그럼,그럼
당신도,당신도
불행하냐니까,불행하냐니까
아직은,아직은
안,안
사,사
들,들
살아봐서,살아봐서
그런데,그런데
용돈을,용돈을
줘야,줘야
되면,되면
자기는,자기는
불행하다,불행하다
야,야
그래놓고,그래놓고
그,그
오만원을,오만원을
안,안
줘,줘
그러면서,그러면서
우리,우리
누나도,누나도
우리,우리
누이동생도,누이동생도
안,안
주는데,주는데
왜,왜
내가,내가
줘야되녜,줘야되녜
그래갖고,그래갖고
시누,시누
왔길래,왔길래
그랬지,그랬지
아니,아니
이만저만해서,이만저만해서
이래,이래
갖고,갖고
우리,우리
친정엄마한테,친정엄마한테
오만원만,오만원만
주자,주자
그랬더니,그랬더니
이렇게,이렇게
얘기하더라,얘기하더라
왜,왜
형님은,형님은
어머님,어머님
용돈을,용돈을
한번도,한번도
안,안
주세요,주세요
우리,우리
남편,남편
하는말,하는말
&name7&,&name7&
우리,우리
애들한테,애들한테
세뱃돈도,세뱃돈도
안,안
줬어요,줬어요
야,야
{laughing},{laughing}
나,나
진짜,진짜
살,살
수가,수가
없다,없다
{laughing},{laughing}
그래갖고,그래갖고
나,나
&name7&씨보고,&name7&씨보고
아니,아니
왜,왜
조카들,조카들
용돈을,용돈을
안,안
줬냐고,줬냐고
했더니,했더니
그,그
형,형
빚을,빚을
다,다
지고,지고
와가지고,와가지고
십,십
년,년
동안,동안
형,형
빚을,빚을
갚았잖아,갚았잖아
그러니까,그러니까
돈이,돈이
한,한
푼도,푼도
없이,없이
자기가,자기가
십,십
년,년
동안,동안
직장,직장
다녀서,다녀서
번,번
돈을,돈을
그,그
여기다,여기다
땅,땅
사고,사고
소를,소를
샀는데,샀는데
아부지,아부지
보고,보고
그걸,그걸
다,다
팔아달라,팔아달라
그래갖고,그래갖고
형은,형은
빚,빚
갚아주고,갚아주고
형,형
이제,이제
유치장에,유치장에
들어온,들어온
거,거
꺼내주고,꺼내주고
형,형
그,그
채무자들한테,채무자들한테
자기가,자기가
돈을,돈을
갚겠다고,갚겠다고
각서를,각서를
쓰고,쓰고
시골로,시골로
내려온,내려온
거야,거야
그리고,그리고
돈이,돈이
한푼도,한푼도
없어서,없어서
육십,육십
만원을,만원을
누나한테,누나한테
꿔,꿔
가지고,가지고
경운기를,경운기를
샀대,샀대
그래서,그래서
그걸로,그걸로
농사를,농사를
지어갖고,지어갖고
십,십
년,년
동안,동안
형,형
빚을,빚을
갚았대,갚았대
그니까,그니까
이십,이십
년을,년을
형을,형을
위해서,위해서
형,형
빚을,빚을
갚은,갚은
거야,거야
근데,근데
어머니하고,어머니하고
아버지,아버지
한테는,한테는
그거를,그거를
갚기,갚기
위해서,위해서
왔다고,왔다고
얘길,얘길
안,안
한거야,한거야
그니까는,그니까는
어머니하고,어머니하고
아버지는,아버지는
아,아
이번에도,이번에도
(()),(())
저,저
(()),(())
닮은,닮은
새끼,새끼
뭐하러,뭐하러
육지에서,육지에서
직장다니지만은,직장다니지만은
뭐하러,뭐하러
왔냐고,왔냐고
멍청한,멍청한
새끼,새끼
그러길래,그러길래
어머니한테,어머니한테
그,그
얘기를,얘기를
안,안
했냐니까,했냐니까
안,안
했대,했대
아버지도,아버지도
왜,왜
자기,자기
저기,저기
재산의,재산의
분배를,분배를
안,안
했는지,했는지
모르겠대,모르겠대
그,그
나중에,나중에
그러면,그러면
아버지한테도,아버지한테도
그,그
얘기를,얘기를
안,안
했냐,했냐
하니까,하니까
안했다는,안했다는
거야,거야
그거는,그거는
누나밖에,누나밖에
모른다는,모른다는
거야,거야
그래서,그래서
누나도,누나도
이,이
나쁜,나쁜
년이라고,년이라고
그랬어,그랬어
내가,내가
그런,그런
거를,거를
엄마하고,엄마하고
아부지한테,아부지한테
얘기를,얘기를
해,해
줬어야지,줬어야지
그러니까,그러니까
엄마하고,엄마하고
아부지는,아부지는
저,저
괘씸한,괘씸한
거지,거지
저,저
놈이,놈이
십년,십년
동안,동안
벌은,벌은
돈을,돈을
그렇게,그렇게
써버리고,써버리고
도대체,도대체
뭔,뭔
짓을,짓을
쓰고,쓰고
장가도,장가도
안,안
가고,가고
와서,와서
이,이
고생을,고생을
하나,하나
이렇게,이렇게
생각을,생각을
했던,했던
거지,거지
근데,근데
매형도,매형도
몰랐던,몰랐던
거야,거야
어,어
돈,돈
애쓰게,애쓰게
번,번
이유가,이유가
있었구나,있었구나
그래갖고,그래갖고
그,그
돈을,돈을
한,한
푼도,푼도
쓸,쓸
수가,수가
없었던,없었던
거지,거지
그러고,그러고
이제,이제
이십년,이십년
만에,만에
돈,돈
다,다
빚,빚
갚고,갚고
이제,이제
자기네,자기네
땅,땅
사갖고,사갖고
집,집
지은,지은
게,게
그,그
자기,자기
돈이라,돈이라
사람들은,사람들은
돈,돈
엄청,엄청
많을꺼라는데,많을꺼라는데
돈은,돈은
없어,없어
그런데,그런데
된거라,된거라
그래,그래
갖고,갖고
지난번에,지난번에
이제,이제
매형이,매형이
뭐라,뭐라
하냐,하냐
왜,왜
자네는,자네는
형님만,형님만
보면,보면
그렇게,그렇게
화를,화를
내고,내고
짜증을,짜증을
내나,내나
했더니,했더니
좀,좀
뭔가,뭔가
있지,있지
않냐니까,않냐니까
뭐,뭐
없어요,없어요
없어요이랬더니,없어요이랬더니
아니요,아니요
형,형
빚,빚
갚느라고,갚느라고
고생을,고생을
했는데,했는데
형이,형이
몰라줘서,몰라줘서
섭섭했던,섭섭했던
거,거
같아요,같아요
내가,내가
그랬더니,그랬더니
매형이,매형이
무슨,무슨
빚?,빚?
이렇게,이렇게
얘길,얘길
하더라고,하더라고
그니까,그니까
그때서,그때서
누나가,누나가
얘길,얘길
하는,하는
거야,거야
누나가,누나가
누나한테,누나한테
매형이,매형이
왜,왜
너는,너는
나한테,나한테
그런,그런
얘기도,얘기도
안,안
했냐,했냐
뭐,뭐
그런,그런
얘기를,얘기를
왜,왜
해,해
그러고,그러고
있어,있어
그러니까,그러니까
매형도,매형도
이놈은,이놈은
그냥,그냥
그치,그치
그렇게만,그렇게만
생각했었던,생각했었던
거지,거지
자린고비,자린고비
돈,돈
한,한
푼,푼
안쓰는,안쓰는
놈,놈
아,아
옷도,옷도
하나,하나
사입지도,사입지도
않고,않고
남들하고,남들하고
커피,커피
한,한
잔도,잔도
못마시게,못마시게
한다,한다
동네에선,동네에선
다,다
그렇게,그렇게
생각할걸,생각할걸
진짜?,진짜?
근데,근데
형,형
빚,빚
이십년,이십년
동안,동안
형,형
빚,빚
갚느라,갚느라
그렇게,그렇게
한거래,한거래
형이,형이
그,그
저기,저기
뭐냐,뭐냐
그,그
책,책
냈는데,냈는데
그,그
총무놈이,총무놈이
책은,책은
다,다
팔아먹고,팔아먹고
돈을,돈을
갖고,갖고
자기가,자기가
잘라버린,잘라버린
거야,거야
그런,그런
것,것
같고,같고
이제,이제
저기가,저기가
돼버린,돼버린
거지,거지
근데,근데
그,그
형,형
도와줬다고,도와줬다고
형이,형이
지금,지금
알아주는,알아주는
것도,것도
아니잖아,아니잖아
안,안
알아주지,알아주지
아니,아니
그게,그게
또,또
문제야,문제야
그,그
형은,형은
그냥,그냥
해결된건줄,해결된건줄
아는,아는
거지,거지
그냥,그냥
있는,있는
돈,돈
얼마,얼마
갚아가고,갚아가고
해결될,해결될
거라고,거라고
아는거지,아는거지
이,이
사람이,사람이
이렇게,이렇게
해갖고,해갖고
그런거는,그런거는
형하고도,형하고도
얘기를,얘기를
해서,해서
그런,그런
걸,걸
풀걸,풀걸
풀어라,풀어라
나는,나는
그래서,그래서
형제들이,형제들이
다,다
모여서,모여서
풀,풀
건,건
풀고,풀고
그러면,그러면
자기도,자기도
형한테,형한테
섭섭함도,섭섭함도
덜,덜
느낄,느낄
거고,거고
형은,형은
저,저
녀석이,녀석이
왜,왜
자꾸,자꾸
나한테,나한테
틱틱거리지하지,틱틱거리지하지
그런,그런
것도,것도
있을,있을
거고,거고
매형이,매형이
느낄,느낄
정도면,정도면
형은,형은
더,더
느낀다고,느낀다고
근데,근데
이제,이제
또,또
더,더
저기한,저기한
거는,거는
뭐냐면,뭐냐면
형이,형이
어머니가,어머니가
틀리고,틀리고
누나는,누나는
아버지가,아버지가
틀리잖아,틀리잖아
그러니까,그러니까
이제,이제
그런,그런
거에서,거에서
오는,오는
저기도,저기도
있고,있고
어,어
어,어
어,어
그니까,그니까
이런,이런
것들을,것들을
가족들이,가족들이
모여서,모여서
해결하지,해결하지
않으면,않으면
안,안
되니까,되니까
가족이,가족이
한번,한번
모이면,모이면
내가,내가
얘기를,얘기를
한,한
번,번
꺼내겠다,꺼내겠다
매형도,매형도
좋은,좋은
생각이다,생각이다
좋은,좋은
생각이고,생각이고
참,참
좋을,좋을
것,것
같다,같다
이래갖고,이래갖고
막,막
얘기가,얘기가
시작,시작
됐는데,됐는데
매형이,매형이
술이,술이
들어가,들어가
보니까는,보니까는
막,막
외는,외는
바람에,바람에
아,아
죽도,죽도
밥도,밥도
안되고,안되고
끝나부러서,끝나부러서
가족이라는,가족이라는
게,게
조그마한,조그마한
것때문에,것때문에
오해하게,오해하게
되고,되고
조그만,조그만
것땜에,것땜에
섭섭한,섭섭한
건데,건데
푸르다,푸르다
보면,보면
아무,아무
것도,것도
아닌데,아닌데
이제,이제
그런,그런
것들이,것들이
그치,그치
아휴,아휴
진짜,진짜
근데,근데
그,그
뭐지,뭐지
해도,해도
가족이라는,가족이라는
것도,것도
막,막
부딪치고,부딪치고
얘기해야,얘기해야
(()),(())
요,요
조그마한,조그마한
바닥,바닥
제주도,제주도
바닥,바닥
안에서,안에서
살아도,살아도
서로,서로
안,안
만나고(예)/(#예),만나고(예)/(#예)
어쩌다,어쩌다
한번씩,한번씩
오면,오면
진짜서,진짜서
어색해,어색해
서먹서먹하고,서먹서먹하고
서먹서먹하고,서먹서먹하고
또,또
우리도,우리도
저기,저기
우리,우리
신랑만,신랑만
여기,여기
있고,있고
나머지,나머지
다,다
제주시,제주시
있잖아,있잖아
해도,해도
술먹당,술먹당
또,또
둘이,둘이
(()),(())
그러니까,그러니까
우리,우리
같이,같이
술,술
먹지,먹지
말고,말고
고스톱을,고스톱을
치라고,치라고
{laughing},{laughing}
노래방,노래방
부르고,부르고
그래,그래
우리같이,우리같이
진짜,진짜
우리,우리
식구들은,식구들은
모이면,모이면
고스톱,고스톱
내가,내가
한번,한번
나도,나도
고스톱,고스톱
못쳐,못쳐
고스톱,고스톱
남들은,남들은
치니까,치니까
고스톱,고스톱
한,한
번,번
치세요,치세요
그랬더니,그랬더니
고스톱,고스톱
&name7&,&name7&
씨도,씨도
못,못
아무도,아무도
못,못
고스톱치당,고스톱치당
쌈박질,쌈박질
(()),(())
쌈박질,쌈박질
(()),(())
고스톤,고스톤
집안,집안
시끄럽게,시끄럽게
싸우면,싸우면
싸와,싸와
진짜,진짜
싸와,싸와
진짜,진짜
야,야
우리,우리
그,그
친구들끼리,친구들끼리
여행,여행
가면,가면
옛날에,옛날에
그,그
(()),(())
와,와
돈,돈
자기,자기
이름을,이름을
막,막
팔딱팔딱,팔딱팔딱
뛰고,뛰고
난리야,난리야
{laughing},{laughing}
또,또
고민이,고민이
우리,우리
형님,형님
(()),(())
그,그
형님은,형님은
우리,우리
칠,칠
때도,때도
막,막
(()),(())
막,막
나갔고,나갔고
자기,자기
자기,자기
딸,딸
때는,때는
그런데,그런데
자기,자기
잃을,잃을
때는,때는
뭐,뭐
난리쳐,난리쳐
거난,거난
재미로,재미로
재미로,재미로
끝내야,끝내야
그게,그게
아니라,아니라
우리는,우리는
친정식구들은,친정식구들은
물,물
먹고,먹고
먹고,먹고
쓰는,쓰는
거,거
그거,그거
맞아,맞아
거기서,거기서
나오고,나오고
(()),(())
먹고,먹고
이번에도,이번에도
이십오,이십오
이십육,이십육
이틀,이틀
놀거든,놀거든
마트,마트
근무하니까,근무하니까
쉬는,쉬는
날이,날이
많아졌잖아,많아졌잖아
이십오,이십오
이십육일,이십육일
이틀,이틀
연달아,연달아
쉬어,쉬어
아우,아우
&name9&아빠,&name9&아빠
니,니
이십오,이십오
이십,이십
육,육
내일,내일
모레,모레
이틀,이틀
쉴건디,쉴건디
야,야
부르라게,부르라게
친정식구들,친정식구들
{laughing},{laughing}
안,안
돼,돼
오인이상하면,오인이상하면
안돼,안돼
안,안
맞아,맞아
오,오
인,인
이상안돼,이상안돼
사,사
일까지는,일까지는
내일부터,내일부터
내일부터니까,내일부터니까
내일,내일
영,영
시부터,시부터
벌금,벌금
영업장,영업장
그,그
식당,식당
이런,이런
도,도
다섯,다섯
명,명
이상,이상
(()),(())
삼백만원,삼백만원
삼,삼
백,백
만원,만원
이하,이하
벌금,벌금
개인들은,개인들은
십만원,십만원
이하,이하
벌금,벌금
과태료,과태료
과태료,과태료
우리도,우리도
지금,지금
성탄절,성탄절
행사하기로,행사하기로
했다가,했다가
오늘,오늘
지금,지금
인제,인제
여덟,여덟
시,시
반에,반에
회의,회의
하기로,하기로
부녀회,부녀회
안,안
할거지?,할거지?
못하겠지,못하겠지
뭐,뭐
여기,여기
신청인가,신청인가
두모는,두모는
벌써,벌써
다행이다,다행이다
아이고,아이고
그래도,그래도
한시간,한시간
동안,동안
우리,우리
가족에,가족에
대해서,대해서
건강에,건강에
대해서,대해서
얘기하느라고,얘기하느라고
수고하셨습니다,수고하셨습니다
다,다
끝났습니까,끝났습니까
네,네
자~,자~
오늘은,오늘은
저가,저가
이름은,이름은
&name1&입니다.,&name1&입니다.
제목은,제목은
오늘은,오늘은
날씨에,날씨에
대해서,대해서
하겠습니다.,하겠습니다.
요리,요리
아~,아~
요리?,요리?
(()),(())
자,자
바꿔,바꿔
요리,요리
자,자
요리?,요리?
(()),(())
날씨,날씨
오늘,오늘
날씨,날씨
(()),(())
날씨,날씨
예.,예.
날씨,날씨
너.,너.
이,이
화자.,화자.
이,이
화자,화자
&name2&,&name2&
삼,삼
화자.,화자.
삼,삼
화자.,화자.
